uid,aid,hid,lid,year,week,ap,hp,app,hpp,home_projection,away_projection
1,12,3,1,2020,1,161.95,137.15,166.75,142.15,null,null
2,2,5,1,2020,1,126.95,154.57,138.3,155.87,null,null
3,6,4,1,2020,1,116,149.93,141.5,149.93,null,null
4,10,8,1,2020,1,97.99,166.9,112.49,175.8,null,null
5,11,9,1,2020,1,136.3,137.05,145.1,158.95,null,null
6,7,1,1,2020,1,147.8,132.43,173,136.33,null,null
7,8,5,1,2020,2,122.82,98.15,172.77,155.6,null,null
8,7,4,1,2020,2,148.27,150.35,158.37,176.1,null,null
9,10,6,1,2020,2,155.97,101.34,168.27,120.14,null,null
10,2,9,1,2020,2,147.22,110.82,151.42,131.32,null,null
11,3,11,1,2020,2,149.95,163.35,165.45,183.9,null,null
12,12,1,1,2020,2,131.01,181.62,133.91,199.37,null,null
13,7,3,1,2020,3,137.8,118.79,149.5,142.49,null,null
14,1,5,1,2020,3,180.1,61.35,186.95,116.15,null,null
15,2,8,1,2020,3,108.85,137.4,116.85,174.6,null,null
16,4,9,1,2020,3,135.75,107.61,164.55,124.51,null,null
17,6,11,1,2020,3,94.4,143.61,145.9,177.31,null,null
18,12,10,1,2020,3,115.02,182.37,125.72,191.77,null,null
19,6,2,1,2020,4,173.67,122.72,174.27,123.82,null,null
20,5,3,1,2020,4,121.35,147.49,121.55,147.49,null,null
21,11,4,1,2020,4,150.8,143.53,198.75,196.13,null,null
22,12,8,1,2020,4,141.7,122.8,143.1,137.94,null,null
23,9,1,1,2020,4,144.82,108.14,144.82,119.34,null,null
24,7,10,1,2020,4,93.57,139.55,114.77,162.75,null,null
25,3,12,1,2020,5,102.22,76.35,159.6,98.75,null,null
26,6,5,1,2020,5,151.2,123.93,182.3,123.93,null,null
27,8,4,1,2020,5,126.47,144.95,150.27,144.95,null,null
28,7,9,1,2020,5,156.23,115.72,159.73,118.92,null,null
29,11,1,1,2020,5,140.75,152.6,162.25,165.2,null,null
30,2,10,1,2020,5,127.65,106.15,153.85,135.55,null,null
31,3,2,1,2020,6,72.85,103.5,106.35,118.05,null,null
32,4,12,1,2020,6,125.09,99.45,138.89,116.05,null,null
33,5,6,1,2020,6,82.83,112.37,89.78,157.77,null,null
34,9,7,1,2020,6,104.4,210.6,147.8,210.6,null,null
35,8,11,1,2020,6,117.35,121.5,134.05,162.8,null,null
36,1,10,1,2020,6,109.32,121.64,121.07,135.64,null,null
37,10,4,1,2020,7,134.56,160.54,157.61,160.54,null,null
38,8,6,1,2020,7,120.71,133.65,121.21,133.65,null,null
