uid,tid,lid,year,week,points,points_manual,projection
1,1,1,2020,14,166.45,null,null
1,2,1,2020,14,118.65,null,null
1,7,1,2020,14,150.67,null,null
1,10,1,2020,14,143.77,null,null
2,1,1,2020,15,136.95,null,null
2,4,1,2020,15,155.25,null,null
2,7,1,2020,15,135.5,null,null
2,11,1,2020,15,152.29,null,null
3,1,1,2020,16,176.35,null,null
3,4,1,2020,16,143.44,null,null
3,7,1,2020,16,113.4,null,null
3,11,1,2020,16,178.9,null,null
1,2,1,2021,15,111.85,null,null
1,3,1,2021,15,94.31,null,null
1,10,1,2021,15,112.57,null,null
1,11,1,2021,15,111.15,null,null
2,1,1,2021,16,175.47,null,null
2,2,1,2021,16,124.1,null,null
2,5,1,2021,16,144.06,null,null
2,10,1,2021,16,101.44,null,null
3,1,1,2021,17,193.9,null,null
3,2,1,2021,17,138.35,null,null
3,5,1,2021,17,114.59,null,null
3,10,1,2021,17,147.85,null,null
1,2,1,2022,15,112.8,null,null
1,4,1,2022,15,125.45,null,null
1,5,1,2022,15,160.25,null,null
1,10,1,2022,15,153.05,null,null
2,1,1,2022,16,160.85,null,null
2,5,1,2022,16,156.16,null,null
2,10,1,2022,16,136.22,null,null
2,11,1,2022,16,126.99,null,null
3,1,1,2022,17,80.76,144.46,null
3,5,1,2022,17,146.13,null,null
3,10,1,2022,17,97.54,null,null
3,11,1,2022,17,131.2,null,null
1,4,1,2023,15,201.78,null,136
1,5,1,2023,15,123.65,null,126
1,7,1,2023,15,82.2,null,118
1,11,1,2023,15,72.39,null,123
2,1,1,2023,16,168.6,null,135
2,2,1,2023,16,108.72,null,129
2,4,1,2023,16,83.35,null,123
2,5,1,2023,16,141.3,null,124
3,1,1,2023,17,112.24,null,142
3,2,1,2023,17,94.22,null,128
3,4,1,2023,17,130.95,null,128
3,5,1,2023,17,107.45,null,134
