lid,tid,div,year,wins,losses,ties,apWins,apLosses,apTies,pf,pa,pdiff,pp,ppp,pw,pl,pp_pct,pmax,pmin,pdev,doi,pSlot1,pSlot2,pSlot3,pSlot4,pSlot5,pSlot6,pSlot7,pSlot8,pSlot9,pSlot10,pSlot11,pSlot12,pSlot13,pSlot14,pSlot15,pSlot16,pSlot17,pPosQB,pPosRB,pPosWR,pPosTE,pPosK,pPosDST,division_finish,regular_season_finish,post_season_finish
1,1,4,2020,5,8,0,110,66,0,2243.62,1605.41,638.21,2399.32,0,1,1,93.51,181.62,107.01,24.97,4.63,442.25,415.7,357.5,119.5,0,0,232.8,367.55,137.6,170.72,0,0,0,0,0,null,null,809.8,585.2,420.8,119.5,137.6,170.72,0,0,0
1,2,1,2020,6,7,0,72,104,0,1914.16,1770.23,143.93,2166.27,0,1,4,88.36,147.22,88.2,14.57,2.61,307.65,378.5,379.5,109.6,0,0,266.1,239.05,157,76.76,0,0,0,0,0,null,null,540.3,384.9,645.6,109.6,157,76.76,0,0,0
1,3,1,2020,5,8,0,71,105,0,1845.67,1580.5,265.17,2311.9,0,6,0,79.83,149.95,72.16,22.73,4.1,407.4,474.2,228,117.6,0,0,120.7,265.45,134,98.32,0,0,0,0,0,null,null,655.55,568,272.2,117.6,134,98.32,0,0,0
1,4,2,2020,12,1,0,127,38,0,2341.32,1543.25,798.07,2559.17,46.16,1,3,91.49,193.95,123.35,16.73,6.47,380.85,476.2,439.5,192.1,0,0,244.7,383.85,135.3,88.82,0,0,0,0,0,null,null,764.7,507.2,647.9,197.4,135.3,88.82,0,0,0
1,5,2,2020,1,12,0,32,127,0,1592.34,1756.84,-164.5,1902.99,217.43,1,0,83.68,154.57,51.5,24.66,2.51,300.85,230.4,318,128.9,0,0,158.2,277.15,116.3,62.54,0,0,0,0,0,null,null,557.1,233.9,493.6,128.9,116.3,62.54,0,0,0
1,6,2,2020,4,9,0,50,126,0,1708.57,1682.7,25.87,2006.97,133.91,2,0,85.13,173.67,32.2,30.74,2.55,294.15,360.5,331.7,79.3,0,0,112.9,196.7,182.4,150.92,0,0,0,0,0,null,null,440.75,424.7,416.2,93.6,182.4,150.92,0,0,0
1,7,3,2020,9,4,0,112,64,0,2196.78,1543.8,652.98,2463.74,0,1,2,89.16,210.6,93.57,27.49,5.27,321.5,419.5,313.3,262.9,0,0,228.5,325.7,146.7,178.68,0,0,0,0,0,null,null,647.2,444.8,516.5,262.9,146.7,178.68,0,0,0
1,8,3,2020,8,5,0,83,93,0,1982.03,1495.47,486.56,2375.07,214.02,2,2,83.45,166.9,94.56,18.32,6.79,317.05,499.8,273.9,110.7,0,0,201,340.6,148.9,90.08,0,0,0,0,0,null,null,657.65,565.5,409.2,110.7,148.9,90.08,0,0,0
1,9,3,2020,6,7,0,77,99,0,1931.82,1621.94,309.88,2270.72,0,2,2,85.08,145.75,96.14,17.59,3.63,377.3,329.4,351.2,145.5,0,0,97.4,423.6,115.8,91.62,0,0,0,0,0,null,null,776.8,348.4,441.6,157.6,115.8,91.62,0,0,0
1,10,4,2020,6,7,0,103,73,0,2106.4,1708.37,398.03,2370.75,70.08,1,1,88.85,182.37,97.99,21.64,5.11,425.8,463.9,362,119.4,0,0,165.9,294.2,175.6,99.6,0,0,0,0,0,null,null,696.9,503.5,511.4,119.4,175.6,99.6,0,0,0
1,11,4,2020,11,2,0,127,32,0,2405.95,1599.98,805.97,2841.12,20.05,2,4,84.68,207.5,101.41,24.15,9,437.9,419.6,522.2,133.7,0,0,231.4,410.75,116.1,134.3,0,0,0,0,0,null,null,848.65,526,647.2,133.7,116.1,134.3,0,0,0
1,12,1,2020,5,8,0,64,112,0,1780.61,1725.93,54.68,1971.36,0,0,1,90.32,161.95,61.11,26.22,0.71,263.65,295.2,334,119.9,0,0,253.9,243.9,141.5,128.56,0,0,0,0,0,null,null,433.75,350.2,540,186.6,141.5,128.56,0,0,0
1,1,1,2021,10,4,0,126,28,0,2172.81,1851.32,321.49,2432.87,0,1,1,89.31,211.78,114.46,31.06,9,351.95,535.7,390.4,191.1,0,0,226.3,295.8,115.5,66.06,0,0,0,0,0,null,null,647.75,751.9,400.5,191.1,115.5,66.06,0,0,0
